stats_date,total_acres,agency_count,holding_count,unit_count,su_nma_count,holding_verts,unit_verts,su_nma_verts,open_access,restricted_access,closed_access,unknown_access,federal_acres,state_acres,county_acres,city_acres,specialdistrict_acres,nonprofit_acres,private_acres,usfs_acres,blm_acres,nps_acres,cdpr_acres,cdfw_acres,slc_acres,usfws_acres
2015/04/08 10:36:47,,,,,,,,,,,,,,,,,,,,20709902,14913563,7599482,669524,1339293,583983,315179
2015/04/08 12:48:33,49024966,1011,57393,16299,13805,4515488,3894447,7643882,,,,,,,,,,,,,,,,,,
2012/07/01 00:00:00,49214939,942,,14963,,,3585046,,,,,,,,,,,,,,,,,,,
2010/02/01 00:00:00,48781397,843,,14611,,,3317560,,,,,,,,,,,,,,,,,,,
2012/07/01 00:00:00,,,,,,,,,,,,,,,,,,,,20794883,15169817,7625371,634113,1343800,535184,341878
2010/02/01 00:00:00,,,,,,,,,,,,,,,,,,,,20692727,15098036,7552237,674772,1343242,618218,442347
2015/04/08 17:18:47,49024966,1011,57393,16299,13805,4515488,3894447,7643882,,,,,,,,,,,,,,,,,,
2015/04/08 17:18:50,,,,,,,,,,,,,,,,,,,,20709902,14913563,7599482,669524,1339293,583983,315179
2015/04/08 17:32:54,49024966,1011,57393,16299,13805,4515488,3894447,7643882,,,,,,,,,,,,,,,,,,
2015/04/08 17:32:57,,,,,,,,,,,,,,,,,,,,20709902,14913563,7599482,669524,1339293,583983,315179
